t_s,period,team,number,name,rx,ry
2600.18,2,HCAP,,,27.19,3.77
2600.28,2,HCAP,,,27.35,3.3
2600.38,2,HCAP,,,27.4,3.19
2600.48,2,HCAP,,,27.55,2.59
2600.58,2,HCAP,,,33.11,1.18
2600.58,2,HCAP,,,27.65,2.32
2600.68,2,HCAP,,,27.76,1.91
2600.68,2,HCAP,,,32.97,0.93
2600.78,2,HCAP,,,27.87,1.62
2600.78,2,HCAP,,,32.83,0.89
2600.88,2,HCAP,,,28.01,1.33
2600.88,2,HCAP,,,32.67,0.99
2600.98,2,HCAP,,,32.52,1.0
2600.98,2,HCAP,,,28.12,1.14
2601.08,2,HCAP,,,25.8,2.09
2601.08,2,HCAP,,,28.3,0.81
2601.08,2,HCAP,,,32.4,0.93
2601.18,2,HCAP,,,32.29,1.3
2601.18,2,HCAP,,,25.69,2.37
2601.18,2,HCAP,,,28.4,0.82
2601.28,2,HCAP,,,32.18,1.34
2601.28,2,HCAP,,,25.6,2.64
2601.28,2,HCAP,,,28.51,0.57
2601.38,2,HCAP,,,32.05,1.26
2601.38,2,HCAP,,,25.49,2.74
2601.38,2,LHC,44.0,Torchio Luca,28.95,2.34
2601.38,2,HCAP,,,28.59,0.52
2601.48,2,HCAP,,,31.93,1.17
2601.48,2,HCAP,,,25.43,2.83
2601.48,2,LHC,44.0,Torchio Luca,28.96,2.46
2601.58,2,HCAP,,,31.8,1.58
2601.58,2,HCAP,,,25.39,3.19
2601.58,2,HCAP,,,28.7,0.49
2601.58,2,LHC,44.0,Torchio Luca,28.97,2.77
2601.68,2,HCAP,,,25.33,3.37
2601.68,2,LHC,44.0,Torchio Luca,28.95,3.0
2601.68,2,HCAP,,,31.72,1.7
2601.78,2,HCAP,,,31.6,1.91
2601.78,2,LHC,44.0,Torchio Luca,28.92,3.07
2601.78,2,HCAP,,,25.27,3.45
2601.88,2,HCAP,,,25.26,3.48
2601.88,2,LHC,44.0,Torchio Luca,28.87,3.34
2601.88,2,HCAP,,,31.51,2.04
2601.98,2,HCAP,,,25.18,3.75
2601.98,2,LHC,44.0,Torchio Luca,28.79,3.52
2602.08,2,LHC,44.0,Torchio Luca,28.72,3.87
2602.08,2,HCAP,,,25.17,3.77
2602.08,2,HCAP,,,31.23,2.31
2602.18,2,HCAP,,,31.08,2.44
2602.18,2,LHC,44.0,Torchio Luca,28.57,3.95
2602.18,2,HCAP,,,25.1,3.96
2602.28,2,HCAP,,,30.92,2.27
2602.28,2,LHC,44.0,Torchio Luca,28.44,4.12
2602.28,2,HCAP,,,25.02,4.19
2602.38,2,LHC,34.0,Hajdu Erik,15.76,27.94
2602.38,2,LHC,25.0,Puur Elliot,12.48,30.53
2602.38,2,HCAP,,,30.75,2.35
2602.38,2,HCAP,,,24.96,4.31
2602.38,2,LHC,44.0,Torchio Luca,28.26,4.38
2602.48,2,LHC,34.0,Hajdu Erik,16.1,26.75
2602.48,2,LHC,25.0,Puur Elliot,13.8,26.95
2602.48,2,LHC,44.0,Torchio Luca,28.19,4.46
2602.48,2,HCAP,,,24.85,4.62
2602.48,2,HCAP,,,30.57,2.51
2602.48,2,HCAP,,,29.27,1.54
2602.58,2,LHC,34.0,Hajdu Erik,16.37,25.22
2602.58,2,LHC,25.0,Puur Elliot,14.11,25.84
2602.58,2,LHC,44.0,Torchio Luca,28.11,4.56
2602.58,2,HCAP,,,24.74,4.65
2602.58,2,HCAP,,,29.5,1.54
2602.58,2,HCAP,,,30.51,2.43
2602.68,2,LHC,34.0,Hajdu Erik,16.53,24.65
2602.68,2,LHC,25.0,Puur Elliot,15.21,23.29
2602.68,2,LHC,44.0,Torchio Luca,28.07,4.77
2602.68,2,HCAP,,,24.63,4.92
2602.68,2,HCAP,,,30.34,2.45
