t_s,period,team,number,name,rx,ry
3392.08,3,LHC,,,37.06,30.25
3392.18,3,LHC,,,38.45,29.29
3392.28,3,LHC,,,38.72,30.47
3392.38,3,LHC,,,39.29,27.77
3392.48,3,LHC,,,39.08,21.73
3392.58,3,LHC,,,38.65,19.95
3392.68,3,HCAP,,,45.02,24.2
3379.48,3,HCAP,,,41.94,17.3
3379.58,3,HCAP,,,41.89,17.41
3379.68,3,HCAP,,,41.64,16.7
3379.78,3,HCAP,,,42.07,17.13
3379.88,3,HCAP,,,42.02,17.04
3379.98,3,HCAP,,,41.94,17.06
3380.08,3,HCAP,,,41.93,17.36
3380.18,3,HCAP,,,41.8,17.31
3380.28,3,HCAP,,,40.97,16.13
3380.38,3,HCAP,,,40.79,15.87
3380.48,3,HCAP,,,40.88,16.59
3380.58,3,HCAP,,,40.71,16.57
3380.68,3,HCAP,,,40.59,16.69
3380.78,3,HCAP,,,41.17,16.96
3380.88,3,HCAP,,,40.99,17.1
3380.98,3,HCAP,,,40.85,17.25
3381.08,3,HCAP,,,40.66,17.32
3381.18,3,HCAP,,,40.6,17.99
3381.28,3,HCAP,,,39.72,15.96
3381.38,3,HCAP,,,39.58,16.33
3381.48,3,HCAP,,,39.28,15.87
3381.58,3,HCAP,,,39.39,17.41
3381.68,3,HCAP,,,39.23,17.65
3381.78,3,HCAP,,,38.76,16.68
3381.88,3,HCAP,,,38.59,17.06
3381.98,3,HCAP,,,38.34,16.96
3382.08,3,HCAP,,,38.06,16.85
3382.18,3,HCAP,,,37.9,17.17
3382.28,3,HCAP,,,37.33,18.69
3382.38,3,HCAP,,,37.06,19.54
3382.48,3,HCAP,,,36.83,19.41
3382.58,3,HCAP,,,36.63,19.09
3382.68,3,HCAP,,,36.47,19.44
3382.78,3,HCAP,,,36.13,20.59
3382.88,3,HCAP,,,35.99,20.67
3382.98,3,HCAP,,,35.82,20.68
3383.08,3,HCAP,,,35.68,20.86
3383.18,3,HCAP,,,35.62,21.46
3383.28,3,HCAP,,,35.29,20.12
3383.38,3,HCAP,,,35.17,20.11
3383.48,3,HCAP,,,35.13,20.59
3383.58,3,HCAP,,,34.95,20.21
3383.68,3,HCAP,,,34.83,20.37
3383.78,3,HCAP,,,34.53,19.83
3383.88,3,HCAP,,,34.56,20.17
3383.98,3,HCAP,,,34.23,19.69
3384.08,3,HCAP,,,34.16,20.2
3384.18,3,HCAP,,,34.04,20.16
3384.28,3,HCAP,,,34.6,21.19
3384.38,3,HCAP,,,34.54,21.06
3384.48,3,HCAP,,,34.38,20.89
3384.58,3,HCAP,,,34.28,21.46
3384.68,3,HCAP,,,34.14,21.63
3384.78,3,HCAP,,,34.42,20.89
3384.88,3,HCAP,,,34.27,20.64
3384.98,3,HCAP,,,34.46,20.64
3385.08,3,HCAP,,,34.27,20.73
3385.18,3,HCAP,,,34.22,20.95
3385.28,3,HCAP,,,34.18,18.74
3385.38,3,HCAP,,,34.17,19.1
3385.48,3,HCAP,,,34.1,18.89
3385.58,3,HCAP,,,34.04,18.69
3385.68,3,HCAP,,,34.19,18.83
3385.78,3,HCAP,,,33.99,17.86
3385.88,3,HCAP,,,34.01,18.2
3385.98,3,HCAP,,,33.9,18.36
3386.08,3,HCAP,,,33.81,17.81
3386.18,3,HCAP,,,33.8,17.94
3386.28,3,HCAP,,,33.79,17.76
3386.38,3,HCAP,,,33.77,17.73
3386.48,3,HCAP,,,33.76,18.07
3386.58,3,HCAP,,,33.83,18.12
3386.68,3,HCAP,,,33.8,18.17
3386.78,3,HCAP,,,33.74,18.71
3386.88,3,HCAP,,,33.75,18.83
3386.98,3,HCAP,,,33.8,18.81
3387.08,3,HCAP,,,33.8,18.81
3387.18,3,HCAP,,,33.8,18.92
3387.28,3,HCAP,,,33.72,18.53
3387.38,3,HCAP,,,33.64,18.54
3387.48,3,HCAP,,,33.65,18.35
3387.58,3,HCAP,,,33.65,18.77
3387.68,3,HCAP,,,33.63,18.52
3387.78,3,HCAP,,,33.61,19.29
3387.88,3,HCAP,,,33.64,19.28
3387.98,3,HCAP,,,33.69,19.08
3388.08,3,HCAP,,,33.73,18.96
3388.18,3,HCAP,,,33.74,18.83
3388.28,3,HCAP,,,33.79,18.72
3388.38,3,HCAP,,,33.77,18.53
3388.48,3,HCAP,,,33.8,18.79
3388.58,3,HCAP,,,33.8,18.79
3388.98,3,HCAP,,,33.84,18.8
3389.08,3,HCAP,,,33.83,18.8
3389.18,3,HCAP,,,33.82,18.83
3389.28,3,HCAP,,,33.74,18.1
3389.38,3,HCAP,,,33.71,18.31
3389.48,3,HCAP,,,33.67,18.49
3389.58,3,HCAP,,,33.61,18.64
3389.68,3,HCAP,,,33.57,18.6
3389.78,3,HCAP,,,33.54,18.43
3389.88,3,HCAP,,,33.49,18.41
3389.98,3,HCAP,,,33.44,18.19
3390.08,3,HCAP,,,33.46,18.39
3390.18,3,HCAP,,,33.43,18.3
3390.28,3,HCAP,,,33.52,18.51
3390.48,3,HCAP,,,33.51,18.85
3390.58,3,HCAP,,,33.55,18.56
3390.68,3,HCAP,,,33.52,18.67
3390.78,3,HCAP,,,33.48,18.78
3390.88,3,HCAP,,,33.65,18.48
3390.98,3,HCAP,,,33.59,19.26
3391.08,3,HCAP,,,33.63,19.24
3391.18,3,HCAP,,,33.66,19.2
3391.28,3,HCAP,,,33.37,17.15
3391.38,3,HCAP,,,33.44,17.39
3391.48,3,HCAP,,,33.34,17.59
3391.58,3,HCAP,,,33.21,17.49
3391.78,3,HCAP,,,32.61,6.87
3391.88,3,HCAP,,,33.26,14.41
3391.98,3,HCAP,,,33.3,13.28
3392.08,3,HCAP,,,33.49,13.39
3392.18,3,HCAP,,,33.84,12.85
3392.28,3,HCAP,,,33.28,15.06
3392.38,3,HCAP,,,33.7,14.67
3392.48,3,HCAP,,,34.07,15.1
3392.58,3,HCAP,,,33.41,17.02
3392.68,3,HCAP,,,33.58,20.91
3392.78,3,HCAP,,,34.34,14.83
3392.88,3,HCAP,,,34.59,18.79
3379.48,3,LHC,,,25.02,26.35
3379.58,3,LHC,,,24.99,25.89
3379.68,3,LHC,,,24.74,25.43
3379.78,3,LHC,,,24.7,24.89
3379.88,3,LHC,,,24.14,26.09
3379.98,3,LHC,,,23.7,26.11
3380.08,3,LHC,,,23.26,27.3
3380.18,3,LHC,,,22.82,28.18
3380.28,3,LHC,,,22.46,28.83
3380.38,3,LHC,,,22.13,29.45
3380.58,3,LHC,,,21.52,29.34
3380.68,3,LHC,,,21.42,31.29
3381.78,3,LHC,,,24.1,31.97
3381.88,3,LHC,,,24.5,31.44
3381.98,3,LHC,,,24.84,31.39
3382.08,3,LHC,,,25.09,31.37
3382.18,3,LHC,,,25.45,30.7
3382.38,3,LHC,,,25.88,25.77
3382.48,3,LHC,,,26.34,23.96
3382.58,3,LHC,,,26.23,30.08
3382.68,3,LHC,,,26.58,30.63
3382.88,3,LHC,,,26.59,31.52
3382.98,3,LHC,,,26.88,31.89
3383.18,3,LHC,,,27.47,30.47
3383.28,3,LHC,,,27.96,29.55
3383.38,3,LHC,,,28.14,28.3
3383.48,3,LHC,,,28.29,28.51
3383.58,3,LHC,,,28.48,27.86
3383.68,3,LHC,,,28.62,28.02
3383.78,3,LHC,,,28.44,26.81
3383.88,3,LHC,,,28.64,25.78
3383.98,3,LHC,,,28.72,26.08
3384.08,3,LHC,,,28.82,26.15
3384.18,3,LHC,,,28.88,26.38
3384.28,3,LHC,,,29.57,27.69
3384.38,3,LHC,,,29.67,23.87
3384.48,3,LHC,,,29.77,20.7
3384.58,3,LHC,,,29.83,20.91
3384.68,3,LHC,,,29.89,21.3
3384.78,3,LHC,,,30.59,22.36
3384.88,3,LHC,,,30.61,20.08
3384.98,3,LHC,,,30.63,19.56
3385.08,3,LHC,,,30.68,21.38
3385.18,3,LHC,,,30.69,20.25
3385.28,3,LHC,,,30.8,19.71
3385.38,3,LHC,,,30.86,21.73
3385.48,3,LHC,,,30.86,21.5
3385.58,3,LHC,,,30.88,21.99
3385.68,3,LHC,,,30.89,19.72
3385.78,3,LHC,,,30.96,19.91
3385.88,3,LHC,,,30.99,21.42
3385.98,3,LHC,,,30.95,19.59
3386.08,3,LHC,,,30.96,18.85
3386.18,3,LHC,,,30.96,19.03
3386.28,3,LHC,,,31.0,18.54
3386.38,3,LHC,,,31.0,18.92
3386.48,3,LHC,,,31.01,19.38
3386.58,3,LHC,,,31.0,18.54
3386.68,3,LHC,,,31.01,18.51
3386.78,3,LHC,,,31.01,19.12
3386.88,3,LHC,,,31.01,18.72
3386.98,3,LHC,,,31.02,18.92
3387.08,3,LHC,,,30.92,18.93
3387.18,3,LHC,,,30.99,19.51
3387.28,3,LHC,,,30.91,21.57
3387.38,3,LHC,,,30.81,19.01
3387.48,3,LHC,,,30.82,19.59
3387.58,3,LHC,,,30.8,18.45
3387.68,3,LHC,,,30.82,19.69
3387.78,3,LHC,,,30.75,20.79
3387.88,3,LHC,,,30.76,19.86
3387.98,3,LHC,,,30.76,19.8
3388.08,3,LHC,,,30.75,19.62
3388.18,3,LHC,,,30.75,19.35
3388.28,3,LHC,,,30.83,19.85
3388.38,3,LHC,,,30.86,20.53
