epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.874,2.1112,8.89908,0.58879,2.58027,2.38442,0.88198,0.928,0.97221,0.57115,0.0203,0.024,0.00068,9e-05,1.50978,7.27666,0.39972,1.01953,1.85046,0.000659498,0.000659498,0.000659498
2,102.951,1.19643,5.78582,0.31048,0.74643,1.59605,0.94392,0.96,0.98541,0.70265,0.29949,0.224,0.12009,0.02213,1.08132,5.88134,0.25301,0.71288,1.55025,0.00129991,0.00129991,0.00129991
3,128.158,1.0083,4.07763,0.24689,0.65378,1.41499,0.95349,0.98395,0.99056,0.68118,0.28349,0.312,0.09895,0.02751,1.05907,6.28821,0.2416,0.68515,1.46528,0.00191392,0.00191392,0.00191392
4,153.152,1.00728,3.31316,0.2287,0.62729,1.36809,0.96145,0.99754,0.99308,0.72181,0.66626,0.704,0.5075,0.17593,0.97215,4.06287,0.23474,0.62562,1.34383,0.0018812,0.0018812,0.0018812
5,178.228,0.93509,2.70915,0.21873,0.58931,1.31146,0.95348,0.9839,0.98871,0.73275,0.93023,0.9599,0.93966,0.38977,0.91413,2.44579,0.22806,0.66771,1.48458,0.0018416,0.0018416,0.0018416
6,203.317,0.89964,2.46192,0.20751,0.5724,1.27482,0.97468,0.976,0.98855,0.70151,0.83747,0.84,0.72246,0.26411,0.98166,3.14877,0.20777,0.59833,1.26417,0.001802,0.001802,0.001802
7,228.544,0.81134,2.13151,0.19465,0.53746,1.2266,1,0.98198,0.99477,0.75983,0.98371,0.96598,0.97696,0.41164,0.88589,2.31755,0.1994,0.54409,1.20237,0.0017624,0.0017624,0.0017624
8,253.638,0.76043,1.95584,0.1873,0.52446,1.20535,0.99194,1,0.995,0.8038,0.96271,0.968,0.95303,0.5347,0.7606,1.66801,0.18993,0.49764,1.23915,0.0017228,0.0017228,0.0017228
9,278.718,0.72328,1.63224,0.17668,0.49594,1.1593,0.99128,0.992,0.99468,0.79682,0.98329,0.984,0.99047,0.64624,0.75658,1.43587,0.18014,0.51573,1.13837,0.0016832,0.0016832,0.0016832
10,303.809,0.75085,1.4461,0.17393,0.5012,1.16515,0.99196,0.98727,0.99108,0.7476,0.98392,0.97927,0.98845,0.45236,0.88314,2.02794,0.17926,0.54049,1.26763,0.0016436,0.0016436,0.0016436
11,328.886,0.72579,1.368,0.16661,0.48888,1.15513,0.9856,0.976,0.99383,0.82801,0.97752,0.968,0.99225,0.67791,0.68913,1.29696,0.16803,0.503,1.11698,0.001604,0.001604,0.001604
