epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5122,1.88101,9.26592,0.61728,2.70674,1.92785,0.87975,0.92568,0.96193,0.66851,0,0,0,0,0.8463,5.51767,0.3127,32.6235,1.03846,0.000659864,0.000659864,0.000659864
2,101.893,0.97097,6.06431,0.33498,0.70373,1.27871,0.85858,0.98456,0.93257,0.72619,0.14408,0.18243,0.0386,0.00621,0.62263,4.19096,0.14598,36.6851,0.81613,0.00128901,0.00128901,0.00128901
3,134.248,0.95602,4.88722,0.22142,0.67232,1.25013,0.91924,1,0.97998,0.74282,0.60588,0.66892,0.46282,0.13249,0.6489,2.84276,0.12439,13.3613,0.87351,0.00188044,0.00188044,0.00188044
4,166.589,0.88961,3.805,0.19738,0.61937,1.2244,0.94793,1,0.98188,0.79012,0.70491,0.74324,0.69538,0.13766,0.58018,2.75295,0.11532,11.6155,0.76246,0.00183029,0.00183029,0.00183029
5,198.889,0.81382,2.86904,0.19477,0.57208,1.17693,0.95354,0.99324,0.98717,0.79768,0.87552,0.91216,0.93941,0.3014,0.61691,2.03831,0.11599,2.66996,0.79303,0.00177371,0.00177371,0.00177371
6,231.132,0.74967,2.18729,0.1887,0.54712,1.13479,0.95355,0.97095,0.9798,0.7865,0.91082,0.93243,0.91894,0.47213,0.53379,1.42994,0.12284,3.1922,0.76006,0.00171714,0.00171714,0.00171714
7,263.433,0.70339,2.20845,0.18554,0.52898,1.12083,0.95174,0.99324,0.97984,0.80516,0.93879,0.97973,0.95738,0.63998,0.50941,1.111,0.11232,6.01903,0.75209,0.00166057,0.00166057,0.00166057
8,295.716,0.76713,1.91416,0.18503,0.53089,1.14184,0.94207,0.97297,0.98912,0.78411,0.93734,0.96622,0.98101,0.59544,0.58984,1.47823,0.11279,2.43329,0.81884,0.001604,0.001604,0.001604
9,327.952,0.69309,1.67909,0.18016,0.49069,1.10839,0.90022,0.99324,0.97236,0.79071,0.84491,0.93243,0.90461,0.64475,0.53688,1.02137,0.11101,9.07527,0.77787,0.00154743,0.00154743,0.00154743
10,360.176,0.63971,1.56338,0.17761,0.45591,1.08001,0.95683,0.97973,0.98709,0.84891,0.93686,0.95946,0.96045,0.54587,0.4435,1.41062,0.11094,3.33699,0.69315,0.00149086,0.00149086,0.00149086
11,392.432,0.64688,1.47219,0.17651,0.46765,1.09829,0.94795,0.99324,0.9847,0.74145,0.9415,0.98649,0.96779,0.55316,0.7653,1.14495,0.10235,3.13777,0.88963,0.00143429,0.00143429,0.00143429
12,424.697,0.61498,1.35292,0.17042,0.54664,1.06167,0.9799,0.98799,0.99132,0.80085,0.96652,0.97544,0.97409,0.47397,0.55613,1.42971,0.11109,3.82333,0.80947,0.00137771,0.00137771,0.00137771
13,456.989,0.61434,1.32446,0.16812,0.47606,1.09056,0.96095,0.99772,0.98466,0.83588,0.94794,0.9842,0.96268,0.66319,0.47576,0.90937,0.1092,5.94169,0.72902,0.00132114,0.00132114,0.00132114
14,489.277,0.6003,1.17186,0.16854,0.44465,1.06563,0.9509,1,0.98375,0.81831,0.94447,0.99324,0.98222,0.74329,0.46322,0.80963,0.1101,5.83443,0.736,0.00126457,0.00126457,0.00126457
15,521.65,0.57497,1.07407,0.16357,0.42408,1.05784,0.973,0.97386,0.99152,0.83867,0.89882,0.90037,0.88386,0.48849,0.50034,1.19337,0.10524,2.28154,0.7507,0.001208,0.001208,0.001208
16,554.03,0.55154,0.98955,0.16072,0.40956,1.05329,0.98587,0.94314,0.98247,0.8105,0.97882,0.93668,0.97522,0.6912,0.48928,0.87585,0.1004,1.14717,0.73965,0.00115143,0.00115143,0.00115143
17,586.405,0.5408,0.8203,0.15941,0.3966,1.04529,0.94808,0.98714,0.98871,0.86967,0.93512,0.9738,0.96965,0.83538,0.40819,0.59025,0.10025,4.5546,0.66386,0.00109486,0.00109486,0.00109486
18,618.791,0.53505,0.78948,0.15438,0.38746,1.04283,0.95983,1,0.98513,0.86183,0.96687,0.98604,0.98501,0.78864,0.42678,0.65255,0.10126,4.76752,0.67247,0.00103829,0.00103829,0.00103829
19,651.191,0.52394,0.73554,0.15053,0.37794,1.02745,0.96567,0.99324,0.98875,0.84803,0.96567,0.99324,0.98875,0.71757,0.42367,0.72422,0.09906,3.91179,0.67651,0.000981714,0.000981714,0.000981714
20,683.603,0.52926,0.68791,0.14829,0.38804,1.03004,0.9761,1,0.99231,0.85975,0.9761,1,0.99231,0.71525,0.41771,0.79905,0.09616,3.45251,0.66862,0.000925143,0.000925143,0.000925143
21,715.947,0.49591,0.67259,0.1446,0.37792,1.01331,0.95991,0.99324,0.99238,0.85819,0.94733,0.97223,0.98997,0.79041,0.42455,0.58777,0.09583,3.90639,0.69614,0.000868571,0.000868571,0.000868571
22,748.26,0.48263,0.70517,0.1384,0.358,0.99452,0.961,0.99906,0.99159,0.85396,0.96,0.99324,0.99104,0.77386,0.45533,0.67416,0.09223,3.14272,0.69026,0.000812,0.000812,0.000812
23,780.616,0.47937,0.6449,0.14242,0.35619,1.00681,0.97321,0.98202,0.9908,0.83748,0.96654,0.97593,0.98955,0.77127,0.46419,0.62117,0.09244,2.08197,0.70282,0.000755429,0.000755429,0.000755429
24,812.994,0.483,0.5595,0.138,0.35047,0.98785,0.97978,0.98243,0.99441,0.87465,0.97305,0.97567,0.9925,0.79756,0.38497,0.57789,0.0921,1.48735,0.64236,0.000698857,0.000698857,0.000698857
25,845.348,0.44976,0.48951,0.1394,0.3348,0.97315,0.97962,0.97414,0.99283,0.87039,0.96603,0.96063,0.98434,0.81335,0.40619,0.57193,0.09273,0.82825,0.66262,0.000642286,0.000642286,0.000642286
26,877.707,0.4362,0.49851,0.13528,0.34022,0.97028,0.97463,0.97973,0.99316,0.85917,0.9679,0.97297,0.99152,0.86214,0.41507,0.41275,0.08881,3.33949,0.66275,0.000585714,0.000585714,0.000585714
27,910.112,0.44812,0.43895,0.13115,0.33037,0.97263,0.9672,0.99634,0.99393,0.86267,0.96064,0.98959,0.99189,0.80109,0.41518,0.49889,0.08691,3.19951,0.69907,0.000529143,0.000529143,0.000529143
28,942.443,0.43894,0.46812,0.1289,0.31976,0.96112,0.96073,0.99186,0.99259,0.86135,0.95419,0.9851,0.9915,0.79168,0.41191,0.58935,0.08438,3.28794,0.65964,0.000472571,0.000472571,0.000472571
29,974.819,0.4109,0.40791,0.12833,0.3101,0.96941,0.96705,0.99155,0.99018,0.84359,0.96046,0.98479,0.98876,0.7863,0.42954,0.61922,0.08579,4.17508,0.68008,0.000416,0.000416,0.000416
30,1007.24,0.38923,0.38093,0.12538,0.31445,0.95035,0.98547,0.98649,0.99204,0.85391,0.97872,0.97973,0.98994,0.76541,0.43564,0.64372,0.0839,2.61185,0.68085,0.000359429,0.000359429,0.000359429
31,1039.62,0.3871,0.35321,0.12628,0.30951,0.95317,0.98663,0.99743,0.9944,0.87558,0.97995,0.99068,0.99222,0.85311,0.38705,0.44784,0.08583,2.81608,0.64819,0.000302857,0.000302857,0.000302857
