t_s,H,n_kpts,rms_m,source
2600.0,"[[0.00689139134729971, -0.0519329403490211, 22.95583297626055], [-0.0016050834718550528, 0.035353410709736154, -11.965130628593297], [5.8086743764298054e-05, -0.0016596698871770568, 1.0]]",13,0.71,model
2601.0,"[[0.006889698789818992, -0.05189426344250325, 22.95990790195505], [-0.0015723575515103286, 0.03554840219064695, -12.131924419531039], [5.7639068609823106e-05, -0.0016562078428228777, 1.0]]",13,0.7,model
2602.0,"[[0.006886462722592706, -0.05181263367530862, 22.960208819591], [-0.0016131890905959493, 0.035030389782621504, -11.786612342691098], [5.834715788402198e-05, -0.0016564269312005588, 0.9999999999999999]]",13,0.76,model
2603.0,"[[0.0070576637482756615, -0.052320185705591826, 22.918207533552927], [-0.0016471403862949017, 0.03589640845517638, -12.165481930774389], [6.133213462110002e-05, -0.0016690423770358161, 1.0]]",13,0.72,model
2604.0,"[[0.007323417877715598, -0.052503093354694455, 23.179461890899983], [-0.0014384079505748606, 0.03771271612596568, -13.169702070731839], [6.101515138826485e-05, -0.0016651747625533117, 0.9999999999999999]]",13,0.67,model
2605.0,"[[0.0068857271513725156, -0.05146105023117192, 23.359550213233707], [-0.001301105838120477, 0.036186163188614735, -12.730009892280664], [5.259327874942857e-05, -0.0016364704692519187, 0.9999999999999999]]",13,0.63,model
2606.0,"[[0.007217541461310272, -0.05216071962689359, 23.1972341717776], [-0.0013940990040573814, 0.03724245736685975, -13.09523635045904], [5.8000735362259096e-05, -0.0016557382881967374, 1.0]]",13,0.65,model
2607.0,"[[0.007264800347357756, -0.05215891154442841, 23.154144893917163], [-0.0013901164069783486, 0.0375527914519172, -13.26575676141836], [5.80095404591093e-05, -0.0016545200619906045, 0.9999999999999999]]",13,0.66,model
2608.0,"[[0.007080267250345592, -0.05176539422241784, 23.24577936834207], [-0.0013519456108970736, 0.03689498839349448, -12.988442083416786], [5.530242486520042e-05, -0.0016433641182585722, 1.0]]",13,0.63,model
2609.0,"[[0.0070524219882681346, -0.05264068594884047, 23.720385219219935], [-0.0011450912691150952, 0.03519727778315929, -12.404523848361222], [6.477104706065582e-05, -0.001669827702268843, 1.0]]",13,0.69,model
